weight_true,max_stress_true,max_disp_true,weight_mean,weight_std,max_stress_mean,max_stress_std,max_disp_mean,max_disp_std
7937.0737,16605.844,2.611121,7926.0327,105.51995,17021.533,1267.5859,2.6577952,0.0889138
6892.967,75849.516,7.1420846,6877.8735,113.96888,75896.88,9800.762,7.1641364,0.7257765
8239.49,24344.367,2.7765968,8270.293,119.744865,24925.523,2021.204,2.8866758,0.12424733
6568.1567,215736.53,17.045511,6512.8174,150.41673,177562.86,39399.652,14.464592,2.5614011
7559.127,21971.062,2.5306184,7546.4575,92.34199,22176.234,1571.2827,2.688615,0.09478124
6630.2026,21451.754,3.298217,6665.71,97.67276,21876.62,2767.2954,3.292778,0.22293729
7558.9116,52501.836,4.6292877,7630.0454,131.9599,59068.72,7345.3516,4.9382,0.39673403
8466.208,12679.85,2.042413,8459.291,165.19513,11304.854,987.60474,2.0329113,0.09971104
7804.9995,10459.575,2.2231915,7788.953,100.54806,11424.901,894.9175,2.0968294,0.0969132
7427.8345,47567.2,4.0648875,7405.384,113.5619,52973.906,6207.061,4.4232097,0.2902348
9351.5205,36223.16,4.0595946,9274.402,284.4318,37289.707,4645.347,3.9855158,0.36159647
7346.7734,27683.707,3.320107,7347.108,91.79839,29215.324,1962.3976,3.3099608,0.1214588
5941.248,41980.285,5.046696,6009.6963,125.081184,44496.9,3349.534,5.3105617,0.3542993
5795.42,19812.744,3.4413698,5783.58,140.61313,24518.176,3726.133,3.564074,0.3172824
4455.578,78231.8,8.26278,4505.6855,283.37476,73068.914,7527.0464,8.110803,0.7492921
5744.9277,20090.459,3.9337804,5778.0605,153.6821,24218.89,3309.0688,3.9943314,0.30127025
8811.054,17105.547,2.4219573,8769.934,198.0435,16858.133,1301.2026,2.4528441,0.099406205
10014.949,12064.798,1.8567265,9991.464,407.0703,13656.979,1385.376,1.9167558,0.14668913
7146.119,27474.113,3.3445919,7213.3613,82.151405,26319.322,2071.1775,3.223594,0.115127034
9198.379,16520.285,2.2749622,9078.934,252.2086,17274.926,1922.4452,2.324605,0.14370584
5925.309,26684.586,3.6338458,6023.2314,135.15135,25339.377,2347.5847,3.489425,0.14445549
9661.407,16414.934,2.128718,9576.247,247.02547,15912.639,1233.8457,2.119814,0.10632351
5926.329,28068.121,4.7171564,5908.947,142.16963,30999.482,2355.809,4.630742,0.25350568
